title,heading,content,tokens
2020 Summer Olympics,Summary,"The 2020 Summer Olympics, officially the Games of the XXXII Olympiad and officially branded as Tokyo 2020, were an international multi-sport event held from 23 July to 8 August 2021 in Tokyo, Japan, with some preliminary events that began on 21 July 2021. Tokyo was selected as the host city during the 125th IOC Session in Buenos Aires, Argentina on 7 September 2013.
Originally scheduled to take place from 24 July to 9 August 2020, the event was postponed to 2021 on 24 March 2020 due to the global COVID-19 pandemic, the first such instance in the history of the Olympic Games (previous games had been cancelled but not rescheduled). However, the event retained the Tokyo 2020 branding for marketing purposes. It was largely held behind closed doors with no public spectators permitted due to the declaration of a state of emergency in the Greater Tokyo Area in response to the pandemic, the first and only Olympic Games to be held without official spectators. The Games were the most expensive ever, with total spending of over $20 billion.
The Games were the fourth Olympic Games to be held in Japan, following the 1964 Summer Olympics (Tokyo), 1972 Winter Olympics (Sapporo), and 1998 Winter Olympics (Nagano). Tokyo became the first city in Asia to hold the Summer Olympic Games twice. The 2020 Games were the second of three consecutive Olympics to be held in East Asia, following the 2018 Winter Olympics in Pyeongchang, South Korea and preceding the 2022 Winter Olympics in Beijing, China. Due to the one-year postponement, Tokyo 2020 was the first and only Olympic Games to have been held in an odd-numbered year and the first Summer Olympics since 1900 to be held in a non-leap year.
New events were introduced in existing sports, including 3x3 basketball, freestyle BMX and mixed gender team events in a number of existing sports, as well as the return of madison cycling for men and an introduction of the same event for women. New IOC policies also allowed the host organizing committee to add new sports to the Olympic program for just one Games. The disciplines added by the Japanese Olympic Committee were baseball and softball, karate, sport climbing, surfing and skateboarding, the last four of which made their Olympic debuts, and the last three of which will remain on the Olympic program.
The United States topped the medal table by both total golds (39) and total medals (113), with China finishing second by both respects (38 and 89). Host nation Japan finished third, setting a record for the most gold medals and total medals ever won by their delegation at an Olympic Games with 27 and 58. Great Britain finished fourth, with a total of 22 gold and 64 medals. The Russian delegation competing as the ROC finished fifth with 20 gold medals and third in the overall medal count, with 71 medals. Bermuda, the Philippines and Qatar won their first-ever Olympic gold medals. Burkina Faso, San Marino and Turkmenistan also won their first-ever Olympic medals.",623
2016 Winter Youth Olympics,Summary,"The 2016 Winter Youth Olympics (Norwegian: Olympiske vinterleker for ungdom 2016; Nynorsk: Olympiske vinterleikane for ungdom 2016), officially known as the II Winter Youth Olympic Games, took place in and around Lillehammer, Norway, between 12 February and 21 February 2016. They were the fourth Youth Olympic Games and the second winter edition. Lillehammer was awarded the games on 7 December 2011 as the only candidate. The games reused venues from the 1994 Winter Olympics; this made Lillehammer the first city to host both regular and Youth Olympics. In addition to Lillehammer, sports were contested in Hamar, Gjøvik and Øyer.",152
2016 Winter Youth Olympics,Host selection,"Lillehammer was the only city to bid for the games. The Norwegian Olympic Committee talked with Norwegian and regional authorities to investigate a bid and ultimately submitted a bid to the IOC. Upon the deadline for bidding, they were the only city to bid. Lillehammer hosted the 1994 Winter Olympics. They bid for the 2012 Winter Youth Olympics, but failed to become a candidate. Lake Placid, Lucerne, Zaragoza and Sofia all expressed interest in bidding but ultimately failed to submit any bids. On 7 December 2011, the International Olympic Committee selected Lillehammer as the host city of the 2016 Winter Youth Olympics.",129
Olympic Games ceremony,Summary,"The Olympic Games ceremonies of the Ancient Olympic Games were an integral part of these Games; the modern Olympic games have opening, closing, and medal ceremonies. Some of the elements of the modern ceremonies date back to the Ancient Games from which the Modern Olympics draw their ancestry. An example of this is the prominence of Greece in both the opening and closing ceremonies. During the 2004 Games, the medal winners received a crown of olive branches, which was a direct reference to the Ancient Games, in which the victor's prize was an olive wreath. The various elements of the ceremonies are mandated by the Olympic Charter, and cannot be changed by the host nation. This requirement of seeking the approval of the International Olympic Committee (IOC) includes the artistic portion of opening and closing ceremonies.
The ceremonies have evolved over the centuries. Ancient Games incorporated ceremonies to mark the beginning and ending of each successive game. There are similarities and differences between the ancient Olympic ceremonies and their modern counterparts. While the presentation of the Games has evolved with improvements in technology and the desire of the host nations to showcase their own artistic expression, the basic events of each ceremony have remained unchanged. The presentation of the Opening and Closing Ceremonies continue to increase in scope, scale, and expense with each successive celebration of the Games, but they are still steeped in tradition.",271
Olympic Games ceremony,Ancient forerunners,"The Ancient Games, held in Greece from ca. 776 BC to ca. 393 AD, provide the first examples of Olympic ceremonies.  The victory celebration, elements of which are in evidence in the modern-day medal and closing ceremonies, often involved elaborate feasts, drinking, singing, and the recitation of poetry.  The wealthier the victor, the more extravagant the celebration.  The victors were presented with an olive wreath or crown harvested from a special tree in Olympia by a boy, specially selected for this purpose, using a golden sickle.  The festival would conclude with the victors making solemn vows and performing ritual sacrifices to the various gods to which they were beholden.
There is evidence of dramatic changes in the format of the Ancient Games over the nearly 12 centuries that they were celebrated.  Eventually, by roughly the 77th Olympiad, a standard 18-event program was established.  In order to open a Games in ancient Greece the organizers would hold an Inauguration Festival.  This was followed by a ceremony in which athletes took an oath of sportsmanship.  The first competition, an artistic competition of trumpeters and heralds, concluded the opening festivities.",247
2016 Summer Olympics opening ceremony,Summary,"The opening ceremony of the 2016 Summer Olympics took place on the evening of Friday 5 August 2016 in the Maracanã Stadium, Rio de Janeiro, starting at 20:00 BRT (23:00 UTC). As mandated by the Olympic Charter, the proceedings combined the formal ceremonial opening of this international sporting event (including welcoming speeches, hoisting of the flags and the parade of athletes, as well as a new feature—the presentation of the International Olympic Committee's Olympic Laurel distinction) with an artistic spectacle to showcase the host nation's culture and history. The Games were officially opened by Acting President of Brazil Michel Temer.
Directed by Fernando Meirelles, Daniela Thomas and Andrucha Waddington, the ceremony featured presentations of the history and culture of Brazil, including its landscape and forests, the history of the Brazilian people dating back to the arrival of the Portuguese, music and samba, and the favelas among other aspects. Portions of the ceremony were also dedicated to the topics of environmental conservation and climate change. The ceremony was intended to have a significantly lower cost than those of other recent Olympics, with a reported budget under R$20,433,298 (US$6.5265 million).
The ceremony was praised by the international media for its vivid, diverse performances, emphasis on multiculturalism, and its appeal to the issue of climate change.",283
2016 Summer Olympics opening ceremony,Preparations,"The creative directors for the ceremony were Fernando Meirelles, Daniela Thomas and Andrucha Waddington. Brazilian choreographer Deborah Colker prepared a cast of over 6000 volunteers who danced in the opening ceremony. Rehearsals started at the end of May 2016. Meirelles stated that the content of the ceremony would be a vision of Brazil and what he hoped the country would become, and would try to avoid clichés (with certain exceptions, however, such as Carnival).
The ceremonies would have a significantly lower budget than those of other recent Olympics, totalling only 10% of the total budget for the ceremonies of the 2012 Summer Olympics. Meirelles explained that he would be ""ashamed to waste what London spent in a country where we need sanitation; where education needs money. So I'm very glad we're not spending money like crazy. I'm happy to work with this low budget because it makes sense for Brazil."" Meirelles outlined that because of the lower budget, the ceremony would eschew ""high-tech"" ideas such as moving stages and drones; fellow ceremonies director Leonardo Caetano went on to say that the concept of the ceremony would emphasize ""originality"" over ""luxury"", and ""compensate with creativity, rhythm and emotion"". Rather than a series of expensive props that would only be used for a single sequence, a large portion of the budget was used to install 110 20,000-lumen projectors which were used to cover the floor in images throughout the ceremony.
On 15 July 2016, it was announced that Anitta, Caetano Veloso and Gilberto Gil would perform during the opening ceremony. Gil and Veloso had also participated as creative advisors for the ceremony. Creative director Daniela Thomas explained that their involvement was meant to reflect the best in Brazilian music.",377
Shooting at the 2016 Summer Olympics,Summary,"Shooting competitions at the 2016 Summer Olympics in Rio de Janeiro took place from 6 to 14 August at the National Shooting Center in Deodoro. A maximum of 390 athletes were able to compete in the fifteen events across these Games. The event format was similar to 2012, although there were significant changes to the rules and guidelines of the competition.",72
Shooting at the 2016 Summer Olympics,Format changes,"On 23 November 2012, the International Shooting Sport Federation instituted new rules to the competition format designed to enhance the sport's appeal to youth, to make it more spectator and media friendly, and to keep the competitions fair and transparent. The most significant change to the rules was the new final format for all Olympic events, where all finalists must start from scratch. Furthermore, all finals featured an elimination stage, until the competition ended up with duels between the two shooters to decide the gold and silver medals. Other ratified changes included decimal scoring for both air rifle and rifle prone, separate sighting and match firing periods, limited use of performance-enhancing rifle clothing and equipment, target throwing distance in skeet shooting, and adjustment of targets in the double trap.",152
Field hockey at the 2016 Summer Olympics,Summary,Field hockey at the 2016 Summer Olympics in Rio de Janeiro took place from 6 to 19 August at the Olympic Hockey Centre in Deodoro. The competition had instituted several changes in the format and structure from the 2012 Summer Olympics. Twenty-four teams (twelve each for men and women) competed in the tournament.,67
